sepal_length,sepal_width,petal_length,petal_width,species
5.1,3.5,1.4,0.2,setosa
4.9,3.0,1.4,0.2,setosa
4.7,3.2,1.3,0.2,setosa
4.6,3.1,1.5,0.2,setosa
5.0,3.6,1.4,0.2,setosa
6.066545179676275,2.3145386037375517,1.306575012144115,1.9583713987404239,virginica
6.639447765597352,3.4385186996500243,2.030384678521531,2.3704649507615927,setosa
7.117846818101031,3.9298988628374305,4.090142397434059,0.3105016285858442,virginica
5.796906647814195,2.471443197714976,4.48774851505473,1.516182148859942,versicolor
6.103761190372109,3.33164592653956,1.6439495809178362,0.9793418795829938,virginica
6.3851904481908255,3.7922950672376627,1.8488444045297416,0.3027837251764486,virginica
4.6155397095379636,2.614316217362247,3.434172258714714,0.8880668920112531,virginica
4.8,3.0,1.4,0.1,setosa
4.3,3.0,1.1,0.1,setosa
5.8,4.0,1.2,0.2,setosa
5.7,4.4,1.5,0.4,setosa
4.880578404520966,2.0897901348228314,1.1052370254642276,0.9820283442763071,virginica
7.630432426156471,2.3163733226876504,2.070840616619492,1.933416136015811,virginica
5.7,3.8,1.7,0.3,setosa
5.493648390433188,3.17260170884368,6.779467015460897,0.7492838581844217,setosa
6.80675335027985,3.991495383517792,5.701220821118454,1.0107137913446296,virginica
5.1,3.7,1.5,0.4,setosa
4.6,3.6,1.0,0.2,setosa
5.1,3.3,1.7,0.5,setosa
5.762992701184254,2.67496108121362,3.4727744839661927,1.0242147906408483,versicolor
5.0,3.0,1.6,0.2,setosa
5.0,3.4,1.6,0.4,setosa
4.62417229879231,2.258578270294152,5.7457294021165275,1.24690545765699,virginica
5.2,3.4,1.4,0.2,setosa
4.7,3.2,1.6,0.2,setosa
4.8,3.1,1.6,0.2,setosa
4.6039995561036005,4.098948898009915,1.3149534025003349,0.7081200492140493,virginica
5.2,4.1,1.5,0.1,setosa
5.5,4.2,1.4,0.2,setosa
6.880804680972384,4.137901978108459,5.401484253436334,1.8637435895446979,virginica
5.401443846942349,2.2267200033476366,2.8309745761520393,1.8417175078514245,setosa
5.5,3.5,1.3,0.2,setosa
4.9,3.6,1.4,0.1,setosa
4.4,3.0,1.3,0.2,setosa
5.1,3.4,1.5,0.2,setosa
5.0,3.5,1.3,0.3,setosa
6.4272957693331,3.2151918358895193,4.370272645282359,1.5390242596542696,versicolor
6.036292372994441,2.479461563984138,3.2043234169114725,0.38104855816026517,virginica
5.0,3.5,1.6,0.6,setosa
5.1,3.8,1.9,0.4,setosa
7.676175237909939,2.297009128760827,6.4565670272065665,1.7109553919406222,setosa
6.569017335227999,2.6982028115362846,6.119659827278467,2.299235246891627,versicolor
6.174420648897536,3.590874110632598,5.731952693614202,0.9740608426529296,versicolor
5.356937527960061,4.15078585241544,1.1466709991789124,0.42292530019155294,virginica
5.0,3.3,1.4,0.2,setosa
7.030670307406757,2.5783293800136438,2.67984848579382,2.401312590181793,setosa
7.230473384797725,3.5826143232605645,6.7007682816447725,1.6349518509690644,virginica
5.671676413947337,2.761133342774517,4.131540584534416,0.8125035389710846,versicolor
5.5,2.3,4.0,1.3,versicolor
5.962758028904995,2.552513578147714,5.6301043505879065,0.6581678572692968,versicolor
5.7,2.8,4.5,1.3,versicolor
6.890066641423372,2.2946190377875664,1.906319031633146,2.022122022604232,versicolor
6.0783669492802685,3.8657716117788263,3.322419695308967,1.5787976800578911,versicolor
6.6,2.9,4.6,1.3,versicolor
4.6470074637525975,2.758229724393903,1.392697256035551,2.1657257639821457,setosa
