epoch,accuracy,loss,val_accuracy,val_loss
0,0.7599999904632568,0.6484794020652771,0.8799999952316284,0.29174861311912537
1,0.8615000247955322,0.3439934551715851,0.8374999761581421,0.37230217456817627
2,0.8794999718666077,0.28480276465415955,0.9012500047683716,0.2552486062049866
3,0.8989999890327454,0.2552007734775543,0.9012500047683716,0.2752803564071655
4,0.9129999876022339,0.22576987743377686,0.9112499952316284,0.2668096423149109
5,0.9240000247955322,0.1871429979801178,0.8912500143051147,0.2902955114841461
6,0.9300000071525574,0.16937559843063354,0.8899999856948853,0.3368782103061676
7,0.9434999823570251,0.15110449492931366,0.875,0.36393338441848755
8,0.9514999985694885,0.13205252587795258,0.887499988079071,0.4839404225349426
9,0.9545000195503235,0.13259010016918182,0.90625,0.31466948986053467
